index,raw_X,local_X,Z,C_unwrapped,pass_id
50168,215.0337,18.03370000000001,-2.6608,-196238.6785,2
50248,214.9631,17.963099999999997,-2.6613,-196747.3454,2
50328,214.8923,17.892300000000006,-2.6618,-197258.0181,2
50408,214.8212,17.821200000000005,-2.6623,-197770.7205,2
50488,214.7497,17.74969999999999,-2.6628,-198285.477,2
50568,214.6781,17.6781,-2.6633,-198802.3124,2
50648,214.6061,17.606099999999998,-2.6637,-199321.2522,2
50728,214.5338,17.533800000000014,-2.6642,-199842.3222,2
50808,214.4612,17.46119999999999,-2.6647,-200365.549,2
50888,214.3883,17.388299999999987,-2.6652,-200890.9595,2
50968,214.3152,17.315200000000004,-2.6657,-201418.5813,2
51048,214.2417,17.24170000000001,-2.6661,-201948.4425,2
51128,214.1679,17.167900000000003,-2.6666,-202480.5719,2
51208,214.0937,17.093700000000013,-2.6671,-203014.999,2
51288,214.0193,17.019299999999987,-2.6675,-203551.7536,2
51368,213.9445,16.944500000000005,-2.668,-204090.8666,2
51448,213.8694,16.869400000000013,-2.6684,-204632.3692,2
51528,213.7939,16.793900000000008,-2.6689,-205176.2935,2
51608,213.7181,16.718099999999993,-2.6693,-205722.6722,2
51688,213.642,16.641999999999996,-2.6698,-206271.5391,2
51768,213.5655,16.565499999999986,-2.6702,-206822.9282,2
51848,213.4887,16.488699999999994,-2.6706,-207376.8748,2
51928,213.4115,16.41149999999999,-2.6711,-207933.4147,2
52008,213.3339,16.3339,-2.6715,-208492.5847,2
52088,213.256,16.256,-2.6719,-209054.4225,2
52168,213.1777,16.177699999999987,-2.6724,-209618.9666,2
52248,213.099,16.09899999999999,-2.6728,-210186.2564,2
52328,213.0189,16.018900000000002,-2.6732,-210763.4763,2
52408,212.9395,15.93950000000001,-2.6736,-211336.4157,2
52488,212.8596,15.8596,-2.674,-211912.2259,2
52568,212.7793,15.779300000000006,-2.6744,-212490.9504,2
52648,212.6986,15.698599999999999,-2.6748,-213072.634,2
52728,212.6175,15.617500000000007,-2.6752,-213657.3224,2
52808,212.536,15.536000000000001,-2.6756,-214245.0628,2
52888,212.4541,15.454100000000011,-2.676,-214835.9034,2
52968,212.3717,15.371700000000004,-2.6764,-215429.8939,2
53048,212.2888,15.288800000000009,-2.6768,-216027.0851,2
53128,212.2056,15.205600000000004,-2.6772,-216627.5294,2
53208,212.1218,15.121800000000007,-2.6776,-217231.2804,2
53288,212.0376,15.037599999999998,-2.678,-217838.3935,2
53368,211.9529,14.9529,-2.6783,-218448.9255,2
53448,211.8677,14.867700000000013,-2.6787,-219062.9347,2
